Index	Description	nuclei....in.nuclei	nuclei....in.green	nuclei....in.red	nuclei....in.black	Main.nuclei.total_intensity_DCP1A_P.bodies.Mean	Main.nuclei.mean_intensity_DCP1A_P.bodies.Mean	Main.nuclei.total_intensity_DCP1A_P.bodies.nuc.Mean	Main.nuclei.mean_intensity_DCP1A_P.bodies.nuc.Mean	Main.nuclei.total_intensity_DCP1A_cytoplasm.Mean	Main.nuclei.mean_intensity_DCP1A_cytoplasm.Mean	Main.nuclei.total_intensity_P.bodies_all.Mean	Main.nuclei.mean_intensity_P.bodies_all.Mean	Main.nuclei.P.bodies_count.Mean	Main.nuclei.P.bodies.nuc_count.Mean	Main.green.total_intensity_DCP1A_P.bodies.Mean	Main.green.mean_intensity_DCP1A_P.bodies.Mean	Main.green.total_intensity_DCP1A_P.bodies.nuc.Mean	Main.green.mean_intensity_DCP1A_P.bodies.nuc.Mean	Main.green.total_intensity_DCP1A_cytoplasm.Mean	Main.green.mean_intensity_DCP1A_cytoplasm.Mean	Main.green.total_intensity_P.bodies_all.Mean	Main.green.mean_intensity_P.bodies_all.Mean	Main.green.P.bodies_count.Mean	Main.green.P.bodies.nuc_count.Mean	Main.red.total_intensity_DCP1A_P.bodies.Mean	Main.red.mean_intensity_DCP1A_P.bodies.Mean	Main.red.total_intensity_DCP1A_P.bodies.nuc.Mean	Main.red.mean_intensity_DCP1A_P.bodies.nuc.Mean	Main.red.total_intensity_DCP1A_cytoplasm.Mean	Main.red.mean_intensity_DCP1A_cytoplasm.Mean	Main.red.total_intensity_P.bodies_all.Mean	Main.red.mean_intensity_P.bodies_all.Mean	Main.red.P.bodies_count.Mean	Main.red.P.bodies.nuc_count.Mean	Main.black.total_intensity_DCP1A_P.bodies.Mean	Main.black.mean_intensity_DCP1A_P.bodies.Mean	Main.black.total_intensity_DCP1A_P.bodies.nuc.Mean	Main.black.mean_intensity_DCP1A_P.bodies.nuc.Mean	Main.black.total_intensity_DCP1A_cytoplasm.Mean	Main.black.mean_intensity_DCP1A_cytoplasm.Mean	Main.black.total_intensity_P.bodies_all.Mean	Main.black.mean_intensity_P.bodies_all.Mean	Main.black.P.bodies_count.Mean	Main.black.P.bodies.nuc_count.Mean	X
213	I21	544	266	255	7	454.1	29.09	1175	15.33	109300	44.84	1629	25.09	0.1746	1.068	302.5	19.47	1872	24.37	141900	57.53	2175	29.23	0.1617	1.173	571.4	34.52	496.3	6.591	80010	33	1068	21.36	0.1882	0.9333	0	0	589.9	6.602	59970	22.86	589.9	6.602	0	0.8571	NA
214	I22	396	26	221	85	6651	310.7	548.2	7.078	84410	36.24	7200	129.9	1.482	1.098	6178	250.1	696.7	6.776	122800	53.25	6875	94.24	1.923	1.038	8706	385.1	552.2	7.516	96840	40.26	9258	162.7	1.891	1.05	3077	202.5	575.3	6.773	51740	26.05	3652	79.71	0.7529	1.212	NA
215	I23	1082	490	556	22	6435	298.2	1214	16.35	108500	57.98	7649	146	1.589	1.054	3455	195.5	1838	24.76	123300	64.55	5293	107.1	0.8796	1.039	9092	390.8	710.3	9.556	97350	53.52	9802	181.2	2.228	1.056	7675	327.8	556	6.918	74870	32.91	8231	168.3	1.727	1.182	NA
216	I24	958	329	449	69	247.4	8.622	910.5	11.81	23370	12.22	1158	14.53	0.01983	0.9937	202.2	9.016	1933	25.08	38800	19.53	2135	27.61	0.0152	1	361	9.729	314.2	3.993	12180	7.233	675.2	6.598	0.0245	1.051	15.1	1.678	608	8.585	28180	13.04	623.1	8.791	0.01449	0.8261	NA
217	J1	814	282	493	16	6573	316.3	1044	13.76	85510	51.04	7617	154.1	1.666	1.009	4302	216.9	1767	23.6	94350	55.87	6069	96.85	1.099	1.085	7875	365.4	672.8	8.764	82930	48.97	8547	184.1	2.024	0.9635	3722	336.2	358.1	5.603	40000	25.17	4080	83.71	0.9375	1.187	NA
218	J2	792	353	417	12	5523	291.4	1465	17.88	85150	52.59	6989	149.6	1.294	1.12	3539	202.9	2391	29.28	89050	51.9	5930	116.8	0.8357	1.176	7215	369.1	740.6	8.924	82380	53.62	7955	177.6	1.688	1.084	5524	254.3	403.2	4.977	80710	48.25	5927	154.6	1.333	1	NA
219	J3	274	140	129	0	443.6	34.98	1294	17.86	123600	49.03	1738	31.01	0.208	0.9927	518.3	36.55	2160	30.08	183300	70.08	2678	43.32	0.2286	1.093	309.2	31.24	345.9	4.582	62090	26.76	655.1	17.6	0.1628	0.8837	0	0	0	0	0	0	0	0	0	0	NA
220	J4	556	240	289	15	5143	291.8	1440	19.14	103800	44.25	6583	149.3	1.344	1.018	2162	175.8	2661	33.33	133600	52.92	4822	111.8	0.5958	1.163	7475	383.2	478.7	7.867	78630	37.23	7954	179.3	1.934	0.8997	6443	308.8	1074	12.75	85220	30.25	7516	160	1.733	1.067	NA
221	J5	641	279	330	22	5626	299.4	1472	19.19	112000	45.65	7098	147.8	1.367	1.12	3261	189	2415	30.35	140900	56.17	5676	95.37	0.871	1.28	7602	392	657.1	9.651	92690	38.38	8259	190.4	1.788	0.9788	6529	266.7	1665	22.64	60410	28.72	8194	149.2	1.5	1.136	NA
222	J6	370	196	147	21	5362	263.4	1571	22.63	161200	60.22	6934	140.2	1.416	1.049	3268	206.4	2281	27.73	189700	71.44	5549	110.2	0.9031	1.056	7764	319.4	807.9	18.74	136700	50.21	8572	180.2	2.02	0.9592	5413	257.2	528.3	6.077	81360	30.63	5942	79.83	1.81	1.476	NA
223	J7	437	246	163	20	5022	257.2	1532	19.77	118800	48.91	6554	126.6	1.297	1.103	2871	184.5	2153	27.05	133300	52.57	5024	89.35	0.748	1.179	7312	364.4	723.6	10.44	97340	43.44	8035	177.8	1.939	0.9755	7328	229	529.9	7.199	82500	32.6	7858	127.7	1.85	1.05	NA
224	J8	613	296	287	15	3791	221.7	1547	19.18	102000	46.29	5338	102	1.047	1.186	1658	132.3	2565	31.32	117900	50.53	4223	64.41	0.4899	1.358	6031	321.4	591.5	7.624	89100	42.19	6622	144.2	1.648	1.021	3337	180.1	486.5	6.926	63530	30.27	3824	77.45	0.6667	1.067	NA
225	J9	155	89	62	3	3398	202	1608	19.98	166700	61.92	5006	120.4	1.142	0.8903	2980	193.4	2142	26.86	196000	72.35	5122	124.7	1.101	0.8989	3895	215.1	697	10.19	130800	48.79	4592	119.4	1.177	0.8387	5743	174	1038	10.06	80660	32.17	6780	36.99	1.333	1.667	NA
226	J10	779	278	437	39	4865	296.3	1114	13.28	63430	30.62	5979	141.9	1.258	1.086	3997	295.4	2201	25.87	95440	42.91	6198	148	0.9964	1.191	5691	312.8	489	6.1	46920	24.48	6180	145.9	1.474	1.014	3693	240.2	754.7	8.881	41880	20.19	4448	108	1	1.154	NA
227	J11	279	163	110	5	4763	251.3	1467	18.97	141400	56.27	6230	141.7	1.341	1.004	3062	208.8	2020	26.44	162400	63.8	5082	116.8	0.7975	1.061	7340	302.1	698.3	8.62	112300	46.02	8038	183.4	2.191	0.9	3499	444.2	335.2	4.47	103400	29.53	3834	55.68	0.4	1	NA
228	J12	366	223	131	9	4945	230	1868	22.19	140300	55.18	6813	102.4	1.137	1.257	4209	181.8	2526	29.47	166200	63.03	6735	91.24	0.8251	1.256	6516	319.1	876.9	11.29	104200	43.31	7393	126.7	1.725	1.252	745.3	53.57	516.7	6.149	43030	23.73	1262	12.52	0.4444	1.556	NA
229	J13	357	171	170	7	11580	469.5	2019	23.02	179100	62.13	13600	188.1	2.524	1.336	10390	428.4	3170	36.49	218600	73.96	13560	182	2.199	1.409	12920	492.5	970.7	10.98	139500	49.98	13890	194.5	2.947	1.259	12480	817.2	204.7	4.345	65970	31.89	12690	240.7	0.8571	0.7143	NA
230	J14	529	267	242	11	3536	203.8	1957	23.33	142100	50.25	5493	102	0.7524	1.204	1014	85.8	3299	38.78	202900	68.48	4313	64.78	0.2772	1.318	6371	338.8	593.1	7.663	81600	32.18	6965	146.6	1.252	1.041	2665	157.8	435.5	4.434	51260	23.09	3101	69.9	1.182	1.727	NA
231	J15	148	96	48	1	4549	232.4	1369	20.81	181000	73.53	5918	165.5	1.311	0.8986	3824	227.7	1841	28.69	182200	80.63	5665	159.9	0.9896	0.8958	6358	259	366.6	5.169	171200	58.85	6724	188.8	2.042	0.8333	0	0	499	8.603	7165	7.55	499	8.603	0	1	NA
232	J16	361	152	192	13	6489	333.5	1406	16.88	126800	48.16	7895	156.3	1.465	1.18	3606	217.3	2194	25.92	165900	58.08	5800	121.7	0.8882	1.211	9252	446.6	796	10.33	99880	42.09	10050	193.3	2.005	1.156	647	68.07	403.2	6.821	70490	25.16	1050	46.37	0.1538	1.077	NA
233	J17	706	352	342	2	3424	202.6	6751	93.66	291700	112.8	10170	173.2	0.9688	1.091	1329	106.9	12660	174.6	476500	179.8	13990	198	0.3807	1.156	5572	301	598	9.302	90790	39.94	6170	147.8	1.573	1.009	0	0	353	4.791	49710	19.66	353	4.791	0	2	NA
234	J18	570	294	254	10	5360	236.8	1369	16.05	125100	51.09	6729	111.5	1.318	1.358	3993	141.8	1709	20.39	143300	55.44	5702	75.54	1.031	1.435	6460	341.1	1014	11.55	107700	43.85	7474	151.5	1.598	1.24	14300	322.5	987.8	11.23	62830	30.2	15290	109.7	1.5	2.1	NA
235	J19	298	160	102	21	4211	187.4	1402	18.88	127700	51.88	5613	101.7	1.047	1.232	2403	140.7	1854	22.66	149500	58.25	4257	81.65	0.6625	1.312	8120	299.1	1033	17.48	111400	49.79	9154	160.9	1.882	1.049	1309	61.27	476.7	6.289	70840	26.92	1786	22.56	0.4762	1.429	NA
236	J20	544	290	214	21	4872	259.9	1465	18.66	109100	43.49	6338	142.7	1.143	1.074	3003	169.4	2176	27.18	127900	49.58	5179	96.99	0.6345	1.21	7436	369	684.4	9.583	91630	37.79	8121	187.6	1.813	0.9206	4764	310	353.9	3.97	70150	27.4	5118	183.4	1.476	0.9524	NA
237	J21	407	160	227	9	664.5	38.78	1173	14.93	108400	41.53	1838	28.66	0.2211	1.103	320.7	27.64	2182	28.4	151700	58.11	2502	39.6	0.1688	1.169	813.6	44.9	450.5	5.714	79230	30.02	1264	20.62	0.2643	1.013	838.6	49.33	365	5.723	40740	18.35	1204	13.82	0.1111	1.222	NA
238	J22	644	365	265	5	4731	260.6	2050	25.14	96750	41.64	6781	122.1	1.207	1.165	2548	162.8	3124	36.95	100700	44.99	5672	77.64	0.674	1.299	7582	392	633.9	9.703	90790	37.14	8216	184.3	1.909	0.9774	1676	126	913.8	7.252	83860	35.52	2590	69.45	0.6	1.2	NA
239	J23	1141	530	579	11	7646	348.8	1389	17.56	96870	65.17	9035	161	1.943	1.117	5408	279	2021	24.9	100300	64.06	7429	133.4	1.366	1.175	9623	411.5	808.6	10.82	94610	67.05	10430	187.5	2.478	1.054	5977	250.3	1348	15.38	55510	28.12	7324	103.6	1.545	1.455	NA
240	J24	954	299	488	58	181.7	10.4	898.3	10.96	28200	12.78	1080	17.4	0.02306	0.9706	120.6	14.39	2107	24.88	50720	22	2227	33.55	0.01672	1.117	254.5	8.585	261.8	3.459	15090	7.45	516.4	8.07	0.02869	0.9303	0	0	910.9	13.32	35790	15.4	910.9	13.32	0	0.9138	NA
241	K1	1008	456	509	25	6361	308.6	1133	15.15	93980	55.25	7494	148.7	1.575	1.005	4673	231.7	1768	22.34	110500	60.85	6441	123.3	1.099	0.9912	7920	379.8	592.9	9.142	81240	51.42	8512	175.6	2.024	0.9745	6062	293.7	718.9	8.73	74690	40.5	6781	94.13	1.2	1.72	NA
242	K2	1104	476	571	29	5505	279.6	1344	17.86	93590	53.48	6848	119.4	1.389	1.139	3576	194.7	2076	27.74	108400	58.05	5652	93.37	0.9622	1.166	7071	350.2	824.3	10.76	84010	51.24	7896	141.7	1.755	1.124	6489	319.7	400.2	6.593	57190	30.78	6890	135.1	1.345	1.138	NA
243	K3	355	166	168	12	2104	125.6	1403	17.53	76260	31.53	3507	67.17	0.9352	1.096	1555	111.5	2525	30.62	113300	45.08	4079	62.43	0.7169	1.229	2733	140.8	396.4	5.535	43810	19.44	3130	71.17	1.155	0.9226	1477	111.2	303.1	5.96	40130	18.58	1780	92.53	1.083	1.167	NA
244	K4	130	52	60	4	5035	189.7	1025	15.69	292500	104.3	6061	98.31	1.992	1.031	2384	126.3	1023	13.78	302200	113.4	3407	77.7	1.154	0.8269	7514	261.6	1005	18.09	268700	97.43	8518	126.6	2.633	1.133	171.8	34.35	181.5	2.371	52050	32.72	353.2	4.3	0.25	0.5	NA
245	K5	388	183	160	23	2466	136.9	1306	16.62	103800	38.21	3772	85.46	0.9046	0.9665	1944	120.2	2271	28.67	146600	51.73	4215	85.85	0.5027	1.131	3228	167	342.3	5.14	65650	26.92	3571	98.12	1.337	0.7312	1167	53.58	721.1	7.553	54160	20.15	1888	27.75	0.5652	1.217	NA
246	K6	52	28	20	3	4316	270.8	962.3	14.26	146100	53.33	5279	188.6	0.5577	1.135	6659	397.6	1119	15.85	198400	66.46	7777	301.9	0.6071	0.9643	1901	147.5	837.8	13.91	90250	40.05	2738	66.59	0.6	1.3	0	0	474.7	4.782	70360	29.16	474.7	4.782	0	1.333	NA
247	K7	396	235	154	3	1871	122.5	1829	21	105200	41.99	3700	77.82	0.4091	1.076	1881	121.7	2657	29.92	127300	50.6	4538	98.17	0.3489	1.174	1908	127.2	632.5	8.109	73530	29.72	2540	49.27	0.4935	0.9416	0	0	151.3	2.855	54140	19.16	151.3	2.855	0	0.6667	NA
248	K8	304	135	155	10	878.9	66.82	1073	13.61	118800	44.06	1951	46.73	0.2961	0.8257	771.1	58.89	1946	24.1	156900	59.48	2717	45.25	0.237	0.9259	991.1	75.29	278.3	4.49	90510	32.31	1269	49.88	0.3484	0.7355	944.8	69.16	322.3	5.704	62840	25.36	1267	23.44	0.4	0.8	NA
249	K9	550	311	208	15	5301	252.9	1517	18.65	105900	52.57	6818	137.6	1.284	1.14	2776	179.2	2181	26.25	120300	56.96	4957	90.66	0.8103	1.322	9343	362.7	690.3	9.043	91180	48.06	10030	204.6	2.034	0.8894	4894	415.3	534.5	7.757	61170	32.92	5429	255.9	1.067	1.4	NA
250	K10	215	162	41	1	2769	182.5	1504	19.88	105700	49.57	4273	111.9	0.7674	0.9209	2196	150	1624	22.03	89090	47.45	3820	92	0.6667	0.9321	4823	281.6	1053	12.95	145600	53.7	5876	166.8	1.146	0.7805	4336	722.7	0	0	39210	41.06	4336	722.7	1	0	NA
251	K11	599	278	313	0	7259	307.2	1714	20.33	136300	58.27	8972	157	1.591	1.217	2208	142	2726	31.77	146900	60.91	4934	83.14	0.705	1.335	11790	454.8	845.6	10.56	127900	55.5	12630	223.1	2.387	1.105	0	0	0	0	0	0	0	0	0	0	NA
252	K12	466	281	161	8	3471	213.8	1301	17.58	114900	52.27	4772	99.79	0.9378	1.09	1811	130.8	1592	21.84	118500	55.89	3403	62.11	0.5694	1.128	6392	365.3	912.9	11.61	115200	48.08	7305	158.1	1.553	1.068	2884	170.1	639.9	8.388	63350	29.42	3524	127.1	1	1.125	NA
253	K13	459	177	239	21	4997	303.4	1179	15.67	109000	44.3	6176	142.8	1.194	1.111	3326	195	2209	27.94	149000	57.53	5535	97.46	0.8588	1.294	6482	390.1	549.3	8.466	89260	38.07	7031	184.2	1.51	0.954	5232	333.4	518.7	5.021	60510	24.1	5751	149.9	1	1.095	NA
254	K14	252	120	121	2	8933	433.1	1484	20.27	210000	89.51	10420	249.1	1.913	1.008	10100	509	2133	28.28	249600	102.4	12240	280.8	2.15	1.067	8082	381.8	862.9	12.53	160500	74.71	8945	233.3	1.719	0.9091	0	0	391.5	7.088	40280	28.81	391.5	7.088	0	1	NA
255	K15	100	58	34	1	4509	241.6	1705	19.56	152800	73.9	6213	100.2	0.92	1.13	4329	232.8	1710	19.33	153000	69.36	6039	87.75	0.8103	1.138	5390	269.1	789.9	15.29	127900	74.73	6180	122.9	1.088	1.059	0	0	285	5.089	4414	6.53	285	5.089	0	1	NA
256	K16	541	308	209	6	4909	271.8	1669	19.54	139000	51.45	6578	134.5	1.107	1.163	3026	192.7	2440	27.74	167900	58.13	5466	108.6	0.7208	1.256	7276	368.7	666.9	8.95	98730	41.62	7943	159.8	1.612	1.077	12420	618.1	321.8	5.309	95040	25.61	12740	471.4	1.667	1.167	NA
257	K17	404	165	203	19	3310	178.8	941.6	13.4	97220	38.19	4252	92.08	1.369	0.9975	2697	176.9	1596	22.72	157000	57.52	4293	74.08	1.091	1.127	3991	189.1	450.6	6.783	58280	25.6	4441	110.5	1.67	0.867	2878	136.8	477.5	6.112	45080	21.22	3355	41.07	1.158	1.368	NA
258	K18	505	253	235	9	10820	450.6	1721	21.74	144700	53.26	12540	246.1	2.03	0.9901	8898	439.8	2821	36.02	182800	67.76	11720	231	1.628	1.047	12700	467.6	638.1	7.677	101000	38.39	13340	262.4	2.447	0.9277	5943	151.1	408.8	4.443	51690	20.94	6352	85.88	1.111	1.444	NA
259	K19	586	365	175	0	12240	472.2	1996	24.19	233500	80.04	14240	251.8	1.954	1.126	7464	364.6	2580	29.92	235900	81.54	10040	175.9	1.373	1.26	21970	697.2	910.1	13.82	240000	79.37	22880	410.7	2.966	0.92	0	0	0	0	0	0	0	0	0	0	NA
260	K20	340	197	120	0	12550	427.5	1801	22.68	264900	115.4	14360	214.9	2.432	1.065	8712	309.8	1970	26.04	276400	118.4	10680	141.2	1.99	1.178	19220	613.8	1435	17.44	262000	105.9	20660	332.7	3.2	0.875	0	0	0	0	0	0	0	0	0	0	NA
261	K21	446	150	264	14	2421	148.6	1019	12.53	71320	26.16	3439	72.79	1.139	1.121	2916	174.8	2190	25.69	117100	39.74	5106	93.77	1	1.247	2212	136.8	403.3	5.657	47980	19.3	2615	62.98	1.258	1.053	3166	182	614.7	8.678	51550	18.16	3781	76.88	1.143	0.9286	NA
262	K22	98	27	56	0	3473	163	1280	15.93	371100	120.7	4752	83.07	1.622	1.163	3868	159.6	2343	30.34	301400	89.38	6210	60.08	1.185	1.259	3664	181.8	901.3	9.531	385400	124.5	4565	100.5	1.946	1.143	0	0	0	0	0	0	0	0	0	0	NA
263	K23	1099	482	582	15	6547	327.6	1316	15.82	83690	52.12	7864	149	1.575	1.077	4032	227.5	2045	25.21	90350	51.43	6077	104.7	0.9647	1.164	8740	415.3	761	8.64	75620	52.91	9501	188.3	2.074	1.012	2086	132.6	592.7	6.008	47030	26.94	2679	70.04	1.267	1.067	NA
264	K24	1042	387	490	50	39.18	2.988	955.4	12.51	28130	13.22	994.6	13.3	0.01919	0.9261	42.81	3.749	2048	26.77	49570	21.73	2091	28	0.02326	0.9819	44.71	2.994	271.1	3.409	13030	7.273	315.8	4.04	0.01837	0.9163	0	0	767.3	11.87	29510	14.56	767.3	11.87	0	1.12	NA
265	L1	1007	505	458	22	5688	280.5	1299	16.91	93240	50.22	6987	134.5	1.475	1.038	3236	190	1869	24.46	109900	52.19	5104	90.71	0.8257	1.069	8306	380.3	743.3	9.417	77040	48.69	9050	182.5	2.177	0.9978	6547	253.2	540.7	9.358	68720	34.28	7087	139.5	1.545	1.045	NA
266	L2	875	380	470	12	5680	295.2	1300	16.26	100500	49.7	6980	136.1	1.371	1.105	2844	179.4	2066	25.24	105800	51.98	4910	81.76	0.7421	1.179	8037	391.4	722.4	9.407	97420	48.52	8760	181.6	1.891	1.049	5437	311.7	406.3	8.2	64480	27.47	5843	78.21	1.167	1.167	NA
267	L3	75	27	36	3	2732	156.7	1017	14.81	275700	87.35	3749	82.48	1.16	1.107	1940	128.7	1548	25.33	281100	97.39	3488	97.24	0.9259	0.9259	3251	195	739.5	9.496	264200	82.48	3991	78.65	1.194	1.139	770.7	70.06	422.7	7.449	60300	33.38	1193	19.14	0.3333	1.333	NA
268	L4	508	282	193	23	4072	220.6	1649	20.26	117300	47.45	5722	102.4	1.161	1.165	2906	184.4	2446	29.39	149200	56.85	5352	78.76	0.7589	1.28	5854	284.1	677	9.291	79080	36.53	6531	144.3	1.762	0.9793	1983	70.47	390.9	5.405	56860	24.63	2374	49.07	0.7826	1.087	NA
269	L5	499	339	139	15	1396	104.3	1637	21.65	103100	45.61	3033	70.37	0.5731	1.116	972.3	73.47	2131	28.35	120600	52.58	3104	57.86	0.4248	1.159	2559	183.9	568.1	7.437	67700	31.7	3127	108.6	0.9856	0.9856	571.9	90.19	526.6	6.454	60220	26.66	1099	19.17	0.2667	1.267	NA
270	L6	225	116	99	5	5254	306.5	1082	14.75	126000	52.19	6335	155.1	1.271	1	3350	242.8	1467	19.36	124400	51.7	4817	109.2	0.8621	1.009	7668	367.4	669.5	9.335	124600	51.68	8338	211.3	1.808	0.9899	1862	291.5	253.4	3.732	59650	29.75	2116	96.09	0.4	0.6	NA
271	L7	627	401	193	13	4690	237	1902	21.04	133800	52.01	6592	117.9	0.9904	1.167	3515	172.9	2600	28.33	163100	58.38	6116	86.39	0.7506	1.264	7588	384.3	699.8	8.502	85770	40.94	8288	189.1	1.497	1.01	1351	132.8	605.9	6.144	37150	21.36	1957	58.62	0.5385	1.231	NA
272	L8	286	182	87	0	4962	302	2220	32.93	147200	67.02	7182	151.9	1.091	1.024	3334	220.5	2776	39.33	160700	72.11	6110	123.1	0.7747	1.099	7201	444.3	1348	24.24	114300	53.4	8549	204.6	1.54	0.8621	0	0	0	0	0	0	0	0	0	0	NA
273	L9	430	191	201	20	1055	66.13	1252	15.1	91490	39.59	2307	45.55	0.3256	0.9721	1149	64.8	2264	27.08	134900	56.06	3413	53.98	0.3351	1.115	750.1	64.19	433.9	5.246	50660	25.52	1184	35.84	0.2786	0.8109	311.1	40.21	285.6	4.141	37930	16.95	596.7	23.95	0.15	0.95	NA
274	L10	496	276	172	18	6122	319.9	1120	14.94	114800	53.16	7242	162.3	1.262	1.056	3616	204.1	1594	21.34	139600	55.7	5211	103	0.8261	1.134	8999	465.9	555.5	7.267	87490	53.71	9555	223.1	1.791	1	8059	485.4	464.3	5.1	35400	19.04	8524	306	1.278	1	NA
275	L11	270	160	101	2	3859	223.5	1470	18.34	106200	51.33	5329	136	1.059	0.9704	2080	139.9	2040	24.05	112600	54.17	4120	83.17	0.7375	1.062	6472	352.8	600.9	9.93	99460	47.85	7073	220.7	1.535	0.7822	8498	314.7	503.5	9.993	81830	26.64	9001	130.8	1.5	1	NA
276	L12	495	230	247	8	7291	323.8	1463	19.98	149400	61.41	8754	178.5	1.863	0.9899	5973	291.2	2495	33.22	217200	78.32	8468	154.8	1.357	1.161	8498	356.9	575.3	8.669	85550	41.13	9073	203.3	2.308	0.8462	8178	286.4	140.2	3.378	61850	140.8	8318	192.6	2.25	0.375	NA
277	L13	401	232	144	14	7030	352.7	1508	20.03	137300	53.71	8537	179.1	1.796	1.072	5643	333.2	2067	28.1	167700	64.08	7710	163.1	1.293	1.112	9850	416.2	704.9	8.181	101000	41.57	10550	224.5	2.729	0.9583	4909	221.4	1105	16.27	61990	27.59	6014	99.85	1.429	1.214	NA
278	L14	200	75	85	28	3719	188.6	769.4	10.58	122400	45.85	4488	86.98	1.105	1.13	3302	162.8	957.4	12.83	163700	59.66	4259	77.93	0.76	1.053	4894	250.8	741.3	10.42	101100	39.74	5636	115.2	1.541	1.118	1818	68.32	374.6	5.533	55800	24.35	2193	36.01	0.8571	1.214	NA
279	L15	330	187	125	6	6796	322.1	1333	17.02	120000	51.83	8130	130.4	1.694	1.191	4872	287.7	1625	19.88	120400	51.48	6497	106.8	1.139	1.246	9673	379.6	972	13.3	125300	54.22	10650	167.1	2.416	1.12	4583	295	630.7	7.347	44340	21.66	5214	54.8	1.167	1.5	NA
280	L16	694	362	317	0	5433	293.2	1729	20.86	149300	62.46	7162	149.3	1.447	1.112	4252	250.3	2671	31.84	188300	73.73	6924	137	1.108	1.221	6917	347	702.6	8.834	103100	49.77	7619	166.7	1.855	0.9874	0	0	0	0	0	0	0	0	0	0	NA
281	L17	150	66	74	5	2967	182.1	806.4	11.07	104800	50.36	3774	69.69	0.9467	1.06	1211	116.7	879.9	11.93	114900	47.99	2091	35.56	0.3788	1.076	4620	256	744.7	10.74	100600	55.11	5365	103.2	1.446	1	4401	92.54	1192	11.11	88280	30.68	5593	47.09	1.8	1.2	NA
282	L18	86	47	23	1	1695	108.6	1519	16.57	114900	47.24	3214	72.54	0.4419	1.012	931.5	77.62	1146	12.04	117300	49.53	2078	59.66	0.3404	0.9787	3190	203.7	1898	21.11	139200	49.79	5088	115.1	0.6957	0.913	0	0	1179	10.72	48770	19.33	1179	10.72	0	2	NA
283	L19	590	239	330	0	10720	330.9	1789	23.77	253900	115.3	12510	206.6	3.824	0.9051	9284	288.2	2256	29.06	274900	120.1	11540	181.9	3.703	1.008	11880	354.3	1512	20.59	243700	104.7	13390	222.8	3.994	0.8273	0	0	0	0	0	0	0	0	0	0	NA
284	L20	419	295	60	0	9506	428	927.4	13.69	201400	77.15	10430	297	1.718	0.7375	8586	396.1	959	14.65	210900	79.93	9545	274.3	1.556	0.7932	11700	532.5	647.6	9.401	195900	74.85	12350	408.8	2.083	0.5333	0	0	0	0	0	0	0	0	0	0	NA
285	L21	79	33	32	3	3697	186.1	1165	13.12	246400	93.93	4862	68.72	1.456	1.278	2195	140.7	1337	15.39	230100	87.17	3532	57.45	1.212	1.091	4479	200	909.7	10.6	263900	95.4	5389	82.8	1.719	1.25	0	0	925	7.744	66990	23.26	925	7.744	0	3	NA
286	L22	627	318	251	36	4747	255.5	1608	19.49	97690	39.58	6354	118.7	1.196	1.102	3077	190.5	2602	30.24	117000	46.06	5679	91.59	0.717	1.208	7008	351.8	554.2	7.928	78190	33.59	7562	160.5	1.837	0.988	3389	175.1	449.7	8.475	54690	24.28	3839	68.87	0.8611	0.9444	NA
287	L23	962	394	547	9	7078	301.6	1157	15.45	121200	64.99	8235	146.4	1.884	1.057	4421	226.8	1890	24.76	139500	70.88	6311	113.4	1.178	1.129	9134	357.7	656	9.107	109600	60.44	9790	171.7	2.419	1.018	3366	320.1	349.9	4.342	59170	46.21	3715	84.44	1	0.7778	NA
288	L24	896	248	464	48	138.8	6.214	693.6	9.388	25070	11.63	832.4	13.81	0.01451	0.9129	357.2	12.89	1636	22.67	46700	21.09	1993	34.94	0.01613	0.8911	60.75	4.36	303.1	3.876	14500	7.396	363.9	5.604	0.01078	0.9957	61.94	1.548	625	8.24	45110	16.78	686.9	9.789	0.02083	0.7083	NA
289	M1	487	194	283	3	6497	328.2	1017	13.85	103400	57.93	7514	150.9	1.84	0.9528	3677	243.7	1722	23.72	115300	64.39	5399	106.4	1.082	1.01	8461	387.4	555.8	7.394	96660	54.54	9016	182.8	2.375	0.9011	4537	129.6	242.3	5.548	101300	26.07	4779	135.2	1.333	1	NA
290	M2	469	154	291	14	6806	321.6	1121	14.44	78340	47.69	7926	144.9	1.684	1.021	3456	198.9	2005	26.63	98760	55.11	5461	85.12	0.9805	1.11	8405	389.9	707.4	8.612	69490	45.08	9112	177	2.041	0.9794	1544	129.2	375.9	5.15	23520	21.45	1920	52.9	0.7143	1.071	NA
291	M3	152	34	66	24	4050	199.1	713.9	8.773	102300	46.17	4763	71.31	0.9868	1.184	1543	115	515.2	7.821	141100	64.91	2058	38.4	0.6765	1.088	7537	333.2	822.1	9.319	123900	51.34	8359	119.8	1.561	1.167	1346	90.46	773.4	8.282	36210	22.08	2120	20.37	0.3333	1.417	NA
292	M4	224	122	92	1	310.5	26.84	1785	22.34	193500	74.16	2095	34.22	0.1964	1.036	300.9	26.43	2867	35.24	217500	84.35	3167	41.93	0.1803	1.164	315.3	26.77	410.6	5.05	128800	54.31	725.8	23.4	0.1957	0.8261	0	0	901	10.01	0	0	901	10.01	0	3	NA
