Index	Description	nuclei....in.nuclei	nuclei....in.green	nuclei....in.red	nuclei....in.black	Main.nuclei.total_intensity_DCP1A_P.bodies.Mean	Main.nuclei.mean_intensity_DCP1A_P.bodies.Mean	Main.nuclei.total_intensity_DCP1A_P.bodies.nuc.Mean	Main.nuclei.mean_intensity_DCP1A_P.bodies.nuc.Mean	Main.nuclei.total_intensity_DCP1A_cytoplasm.Mean	Main.nuclei.mean_intensity_DCP1A_cytoplasm.Mean	Main.nuclei.total_intensity_P.bodies_all.Mean	Main.nuclei.mean_intensity_P.bodies_all.Mean	Main.nuclei.P.bodies_count.Mean	Main.nuclei.P.bodies.nuc_count.Mean	Main.green.total_intensity_DCP1A_P.bodies.Mean	Main.green.mean_intensity_DCP1A_P.bodies.Mean	Main.green.total_intensity_DCP1A_P.bodies.nuc.Mean	Main.green.mean_intensity_DCP1A_P.bodies.nuc.Mean	Main.green.total_intensity_DCP1A_cytoplasm.Mean	Main.green.mean_intensity_DCP1A_cytoplasm.Mean	Main.green.total_intensity_P.bodies_all.Mean	Main.green.mean_intensity_P.bodies_all.Mean	Main.green.P.bodies_count.Mean	Main.green.P.bodies.nuc_count.Mean	Main.red.total_intensity_DCP1A_P.bodies.Mean	Main.red.mean_intensity_DCP1A_P.bodies.Mean	Main.red.total_intensity_DCP1A_P.bodies.nuc.Mean	Main.red.mean_intensity_DCP1A_P.bodies.nuc.Mean	Main.red.total_intensity_DCP1A_cytoplasm.Mean	Main.red.mean_intensity_DCP1A_cytoplasm.Mean	Main.red.total_intensity_P.bodies_all.Mean	Main.red.mean_intensity_P.bodies_all.Mean	Main.red.P.bodies_count.Mean	Main.red.P.bodies.nuc_count.Mean	Main.black.total_intensity_DCP1A_P.bodies.Mean	Main.black.mean_intensity_DCP1A_P.bodies.Mean	Main.black.total_intensity_DCP1A_P.bodies.nuc.Mean	Main.black.mean_intensity_DCP1A_P.bodies.nuc.Mean	Main.black.total_intensity_DCP1A_cytoplasm.Mean	Main.black.mean_intensity_DCP1A_cytoplasm.Mean	Main.black.total_intensity_P.bodies_all.Mean	Main.black.mean_intensity_P.bodies_all.Mean	Main.black.P.bodies_count.Mean	Main.black.P.bodies.nuc_count.Mean	X
175	H7	532	224	215	54	5404	253.4	1018	13.04	106000	43.88	6422	155.3	1.449	0.9605	2593	170.6	1457	18.19	136500	52.63	4050	93.14	0.7857	1.116	8753	350.3	665.3	8.464	91460	40.76	9419	225.6	2.279	0.8047	4863	256.2	754.4	9.569	70600	29.62	5617	143	1.185	1.019	NA
176	H8	464	230	209	12	5243	272.7	1148	14.63	133700	54.47	6391	131.3	1.58	1.069	3364	214.3	1651	20.6	166200	65.46	5015	98.35	0.9913	1.213	7389	343	654.6	8.539	104200	44.76	8044	167.7	2.301	0.9043	4291	207.2	458.3	5.887	53670	21.76	4749	62.2	1.083	1.5	NA
177	H9	423	235	158	19	4520	243.2	1505	19.43	122400	50.29	6025	142.7	1.118	0.9929	2359	159	2225	28.6	141700	55.8	4585	90.93	0.6681	1.077	7663	361.8	595.2	7.978	103800	45.26	8258	215.9	1.804	0.7911	5875	331.8	622.3	7.941	63360	31.11	6497	183	1.263	1.368	NA
178	H10	614	287	304	10	2815	164.1	2416	29.35	140400	51.07	5231	92.82	0.9658	1.215	1284	100	4626	55.41	226500	80.19	5910	85.32	0.4251	1.359	4333	226	444	6.251	65370	24.86	4777	101.5	1.493	1.079	3165	238.9	357.5	5.797	27530	22.35	3522	93.77	0.8	1	NA
179	H11	655	326	304	14	5772	291.1	1013	12.98	93070	40.09	6785	154	1.698	1.034	4913	293	1603	19.83	113400	47.46	6516	142.7	1.319	1.144	6788	298	428.4	6.103	73790	33.37	7217	171.6	2.141	0.8783	4451	173.3	358.6	6.922	66130	27.26	4810	68.57	1.429	1.429	NA
180	H12	332	156	116	36	1995	105.9	897	11.2	92060	40.55	2892	54.61	0.6325	1.151	2042	95.26	1222	14.89	121900	50.81	3264	46.29	0.5385	1.218	2108	129.4	576.6	7.115	65710	31.53	2685	66.96	0.8276	1.069	1161	72.63	515.6	6.105	50560	23.25	1677	57.96	0.3889	1.083	NA
181	H13	855	372	457	13	8419	348.5	1287	17.2	109300	52.31	9705	197.2	2.195	1.023	3628	227.2	2349	29.79	119800	58.34	5977	126.7	0.9731	1.245	12200	446.9	454.2	7.411	99060	46.89	12650	253.9	3.179	0.8446	6311	307.3	586.9	8.04	71890	31.14	6898	121.1	2.077	1.385	NA
182	H14	459	209	228	11	4127	211.7	1110	14.15	142200	58.26	5237	136.9	1.264	0.8497	2797	155.9	1695	22.08	188300	70.56	4492	101.4	0.7225	0.8995	5270	268.7	629.8	7.629	101300	46.14	5900	172.6	1.724	0.7763	3061	100.6	676.1	6.693	79280	32.8	3737	72.74	1.091	1.455	NA
183	H15	534	300	216	12	4121	227.3	1279	18.11	124400	50.39	5400	119.6	0.9064	1.011	1788	88.87	1840	25.86	133600	53.32	3628	62.77	0.5633	1.083	7477	421.4	564	8.248	116100	47.8	8041	204.2	1.426	0.9074	2201	197	451.4	8.238	47340	24.14	2652	62.3	0.3333	0.8333	NA
184	H16	471	230	218	15	2056	129.9	1166	14.66	85940	34.69	3222	67.21	0.5711	1	1220	80.95	1840	22.71	116300	44.78	3060	53.08	0.3304	1.109	2850	183.9	477.1	6.625	55510	24.56	3327	84	0.7982	0.8211	4324	146	780.5	9.309	71010	30.52	5104	57.61	1.133	1.667	NA
185	H17	652	259	350	23	5400	270	1189	14.37	112700	43.65	6589	117.9	1.293	1.147	1696	102.3	1970	23.7	125900	50.07	3665	49.64	0.5521	1.228	8261	404.5	671.7	8.26	106400	39.93	8933	170.5	1.851	1.089	6376	228.3	397.8	5.434	68660	27.32	6774	135.4	1.522	1.087	NA
