Object.ID	Circularity.Factor	Mean.Intensity.EGFP	Mean.Intensity.mCherry	Area	Position	P.bodies..Counts	P.bodies.nuc..Counts	total_intensity_DCP1A_P.bodies	mean_intensity_DCP1A_P.bodies	total_intensity_DCP1A_P.bodies.nuc	mean_intensity_DCP1A_P.bodies.nuc	total_intensity_DCP1A_cytoplasm	mean_intensity_DCP1A_cytoplasm	total_intensity_P.bodies_all	mean_intensity_P.bodies_all	P.bodies_count	P.bodies.nuc_count	Parent.Object.ID..Well.	Parent.Trace.ID	black	green	nuclei	red
103960	1.0704304	269.67865	181.88203	2060	2	2	3	2356	168.28571	617	8.6901408	23501.001	20.155232	2973	35.392857	2	3	184	-1	0	0	1	0
170794	1.0692375	476.74496	191.76982	1690	1	1	0	2865	260.45455	0	0	134031	83.40448	2865	260.45455	1	0	266	-1	0	1	1	0
143262	1.0330585	238.54796	224.67807	1783	9	0	1	0	0	204	4.8571429	7572	7.070028	204	4.8571429	0	1	218	-1	0	0	1	1
202671	1.0983255	303.28583	219.96001	1375	8	3	2	6523	383.70588	531	4.9626168	54694	64.88019	7054	57.349593	3	2	358	-1	0	0	1	1
135095	1.0141639	376.03741	191.34256	2058	5	6	3	18651	358.67308	2436	15.921568	487682	120.89291	21087	103.36765	6	3	233	-1	0	1	1	0
80118	1.0630499	236.7207	203.37033	802	2	0	0	0	0	0	0	5781	8.589896	0	0	0	0	122	-1	0	0	1	1
101421	1.046223	524.24493	181.66479	1784	7	0	1	0	0	744	24.8	530720	156.00235	744	24.8	0	1	188	-1	0	1	1	0
70982	1.0869918	311.76117	172.75725	1277	9	0	1	0	0	638	10.290323	19087	22.220023	638	10.290323	0	1	140	-1	0	1	1	0
201514	1.0489583	382.21353	244.32962	1344	7	0	1	0	0	391	8.6888889	256841.02	92.555321	391	8.6888889	0	1	357	-1	0	0	1	1
121849	1.0141689	576.08643	185.62703	3263	9	0	1	0	0	6505	97.089552	1123761	206.64969	6505	97.089552	0	1	201	-1	0	0	0	0
42956	1.1128465	425.21912	243.16739	3925	4	0	0	0	0	0	0	225774	94.545226	0	0	0	0	93	-1	0	0	0	0
209184	1.02779	370.89124	175.16446	1131	2	0	1	0	0	993	34.241379	18684	25.045576	993	34.241379	0	1	375	-1	0	1	1	0
